CRS SUBJ CD,CRS NBR,A,B,C,D,F,W,Primary Instructor
AAS,100,25,5,0,0,2,1,"Kinase-Leggett, Elizabeth"
AAS,100,19,13,1,0,0,0,"Kinase-Leggett, Elizabeth"
AAS,100,25,7,1,0,0,1,"Davis, Thomas E"
AAS,100,29,3,1,0,0,0,"Davis, Thomas E"
AAS,120,16,21,1,1,0,0,"Washington, Myra S"
AAS,120,12,9,9,1,0,1,"Arai, Sayuri"
AAS,120,8,11,10,2,0,0,"Arai, Sayuri"
AAS,258,23,3,0,0,0,0,"Rana, Junaid"
AAS,287,41,1,0,0,0,0,"Manalansan, Martin F"
ABE,100,23,14,0,0,0,0,"Green, Angela R"
ABE,223,29,27,11,1,0,1,"Grift, Tony E"
ABE,224,50,13,4,0,0,2,"Kalita, Prasanta K"
ABE,466,13,14,5,1,0,0,"Hansen, Alan C"
ABE,488,12,8,2,0,0,0,"Singh, Vijay"
ACCY,200,33,49,31,15,1,0,"Silhan, Peter A"
ACCY,200,49,50,26,7,0,0,"Silhan, Peter A"
ACCY,201,18,6,2,1,1,0,"Gilpin, Daniel J"
ACCY,201,29,7,2,0,0,0,"Gilpin, Daniel J"
ACCY,201,23,6,6,1,2,0,"Donnelly, Brian W"
ACCY,201,25,10,3,1,1,0,"Flicher, Jordan A"
ACCY,201,26,12,2,0,0,0,"Grubb, Elizabeth A"
ACCY,201,24,12,3,0,0,0,"Donnelly, Brian W"
ACCY,201,28,8,3,0,0,0,"Flicher, Jordan A"
ACCY,201,27,10,2,0,0,0,"Grubb, Elizabeth A"
ACCY,201,26,7,3,1,2,0,"Hsu, Rita S"
ACCY,201,29,9,1,1,0,0,"Spread, Samuel C"
ACCY,201,25,13,2,0,0,0,"Schertz, Michael K"
ACCY,201,24,9,2,0,0,0,"Lim, Young K"
ACCY,201,25,11,3,0,0,0,"Hsu, Rita S"
ACCY,201,28,10,1,0,0,0,"Jain, Ashima"
ACCY,201,26,9,5,0,0,0,"Lim, Young K"
ACCY,201,29,6,5,0,0,0,"Jain, Ashima"
ACCY,201,26,11,1,2,0,0,"Spread, Samuel C"
ACCY,201,20,13,5,1,0,0,"Schertz, Michael K"
ACCY,202,13,24,6,1,0,0,"Ruhmann, Kymberly C"
ACCY,202,16,23,7,1,0,0,"Jackson, Luke R"
ACCY,202,20,23,4,0,0,0,"Jackson, Luke R"
ACCY,202,14,25,5,0,0,0,"Martin, Charles J"
ACCY,202,16,23,7,0,0,0,"Martin, Charles J"
ACCY,301,24,10,1,1,0,0,"Rennekamp, Kristina M"
ACCY,301,30,9,1,0,0,0,"Rennekamp, Kristina M"
ACCY,301,29,10,1,0,0,0,"Chen, Po-Chang"
ACCY,301,15,18,4,0,0,1,"Jackson, Kevin"
