CRS SUBJ CD,CRS NBR,A,B,C,D,F,W,Primary Instructor
AAS,100,27,8,0,0,0,0,"Arai, Sayuri"
AAS,100,21,12,0,0,0,0,"Arai, Sayuri"
AAS,100,27,7,1,0,0,0,"Davis, Thomas E"
AAS,100,27,6,2,0,0,0,"Davis, Thomas E"
AAS,100,22,7,0,0,0,0,"Thomas, Merin A"
AAS,100,28,5,0,0,0,0,"Thomas, Merin A"
AAS,287,25,9,2,0,0,1,"Manalansan, Martin F"
ABE,223,35,8,3,2,0,0,"Grift, Tony E"
ABE,224,32,16,0,2,0,1,"Kalita, Prasanta K"
ABE,341,6,15,7,1,0,0,"Danao, Mary-Grace"
ABE,430,27,83,16,0,0,0,"Schideman, Lance C"
ABE,466,19,12,5,1,0,0,"Hansen, Alan C"
ABE,488,14,8,2,0,0,0,"Singh, Vijay"
ACCY,200,51,51,28,5,3,0,"Silhan, Peter A"
ACCY,200,48,70,16,8,0,0,"Silhan, Peter A"
ACCY,201,11,18,7,0,0,0,"Hennessy, James E"
ACCY,201,14,16,5,3,0,0,"Hennessy, James E"
ACCY,201,15,15,6,1,0,0,"Huang, John"
ACCY,201,11,17,7,1,1,0,"Ledvora, Joseph A"
ACCY,201,10,13,8,6,0,0,"Lin, Jonathan T"
ACCY,201,12,15,7,0,1,0,"Huang, John"
ACCY,201,12,13,8,4,0,0,"Ledvora, Joseph A"
ACCY,201,10,20,8,1,0,0,"Lin, Jonathan T"
ACCY,201,10,15,9,0,0,1,"McNamara, Sean M"
ACCY,201,5,13,11,5,1,0,"Stefani, Marisa A"
ACCY,201,7,24,5,2,0,0,"Moradi, Maseeh"
ACCY,201,4,27,7,1,1,0,"Smigielski, Michael A"
ACCY,201,13,19,4,2,1,0,"McNamara, Sean M"
ACCY,201,13,20,5,0,0,0,"Moradi, Maseeh"
ACCY,201,7,21,9,2,0,0,"Zhao, Weiran"
ACCY,201,14,17,5,2,0,0,"Stefani, Marisa A"
ACCY,201,13,14,6,1,0,1,"Smigielski, Michael A"
ACCY,201,12,19,6,1,1,0,"Zhao, Weiran"
ACCY,202,16,15,9,1,1,0,"Le, Nga H"
ACCY,202,22,17,6,1,0,0,"Le, Nga H"
ACCY,202,29,14,4,0,0,0,"Mulvihill, Brian J"
ACCY,202,31,13,3,0,0,0,"Mulvihill, Brian J"
ACCY,202,21,19,6,1,0,0,"Ye, Xinxin"
ACCY,202,16,25,6,0,0,1,"Ye, Xinxin"
ACCY,301,17,17,5,0,0,0,"Asante Appiah, Bright"
ACCY,301,26,12,1,1,0,0,"Asante Appiah, Bright"
ACCY,301,15,19,2,1,1,0,"Zhou, Hailan"
ACCY,301,16,20,2,1,0,0,"Jackson, Kevin"
ACCY,301,19,16,4,0,0,1,"Finnegan, Thomas"
ACCY,301,20,16,3,0,1,0,"Zhou, Hailan"
ACCY,301,18,18,1,0,2,0,"Jackson, Kevin"
ACCY,301,18,20,1,0,1,0,"Asante Appiah, Bright"
ACCY,302,12,24,2,0,0,0,"Autrey, Romana L"
ACCY,302,18,18,0,1,0,0,"Autrey, Romana L"
ACCY,302,16,22,1,0,0,0,"Drnevich, Dawn J"
ACCY,302,9,22,4,0,0,0,"Drnevich, Dawn J"
ACCY,302,14,20,0,1,0,1,"Autrey, Romana L"
ACCY,302,24,14,0,0,0,0,"Chen, Xiaoling"
ACCY,302,13,21,3,0,0,0,"Chen, Xiaoling"
ACCY,302,13,27,0,0,0,0,"Chen, Xiaoling"
ACCY,303,12,21,3,0,0,0,"Li, Wei"
ACCY,303,23,10,4,1,0,0,"Li, Wei"
ACCY,303,22,16,0,0,0,0,"Brown, Timothy J"
