CRS SUBJ CD,CRS NBR,A,B,C,D,F,W,Primary Instructor
AAS,100,20,6,2,0,0,0,"Lee, Sang S"
AAS,100,17,10,5,1,0,0,"Lee, Sang S"
AAS,100,27,3,0,0,0,0,"Chung, Ga Young"
AAS,100,23,4,2,0,0,0,"Chung, Ga Young"
AAS,100,18,3,1,1,0,0,"Lee, Jean Y"
AAS,120,19,6,1,0,0,1,"Eng, Christopher A"
AAS,200,17,3,1,0,0,0,"Sharif, Lila A"
AAS,215,11,6,4,2,3,1,"Cacho, Lisa M"
ABE,141,30,16,0,2,4,0,"Bhalerao, Kaustubh"
ABE,225,22,14,2,0,1,0,"Zhang, Yuanhui"
ABE,226,20,14,3,0,0,0,"Singh, Vijay"
ABE,425,34,4,1,0,0,0,"Grift, Tony E"
ABE,436,17,24,4,1,1,0,"Wang, Xinlei"
ABE,446,19,3,0,0,0,0,"Bhalerao, Kaustubh"
ACCY,200,53,47,28,4,2,0,"Silhan, Peter A"
ACCY,200,26,4,0,0,0,0,"Li, Wei"
ACCY,201,15,14,12,2,4,1,"Gebhardt, Abbey L"
ACCY,201,20,15,5,6,1,0,"Gebhardt, Abbey L"
ACCY,201,18,16,8,8,0,1,"Jones, Brock A"
ACCY,201,10,17,9,3,3,2,"Pietura, Magdalena"
ACCY,201,17,13,7,2,3,2,"Pietura, Magdalena"
ACCY,201,23,15,7,3,0,2,"Jones, Brock A"
ACCY,202,11,12,7,0,0,0,"Shen, Haoqing"
ACCY,202,6,19,6,0,0,0,"Shen, Haoqing"
ACCY,202,7,15,6,2,0,1,"Valentine, Courtney M"
ACCY,202,8,16,5,0,0,0,"Silver, Paige R"
ACCY,202,9,23,1,1,1,1,"Waddock, Madeleine K"
ACCY,202,12,17,5,1,0,0,"Waddock, Madeleine K"
ACCY,202,9,20,6,0,0,0,"Agapito, Christina N"
ACCY,202,14,16,5,0,0,0,"Valentine, Courtney M"
ACCY,202,12,14,7,1,0,0,"Silver, Paige R"
ACCY,202,8,16,5,3,0,1,"Agapito, Christina N"
ACCY,202,9,19,4,1,0,0,"Coady, Jennifer J"
ACCY,202,7,18,7,0,0,0,"Chen, Monica S"
