CRS SUBJ CD,CRS NBR,A,B,C,D,F,W,Primary Instructor
AAS,100,19,8,4,0,2,0,"Espiritu, Augusto F"
AAS,100,15,5,1,0,1,0,"Thomas, Merin A"
AAS,100,16,8,0,0,2,0,"Thomas, Merin A"
AAS,100,15,10,2,1,0,1,"Lee, Sang S"
AAS,100,11,12,2,1,2,0,"Lee, Sang S"
AAS,100,11,6,6,1,0,0,"Kang, Yoonjung"
AAS,100,10,9,4,1,0,1,"Kang, Yoonjung"
AAS,215,26,1,1,1,0,0,"Kwon, Soo Ah"
ABE,225,11,23,7,3,0,0,"Zhang, Yuanhui"
ABE,226,31,10,3,1,2,0,"Singh, Vijay"
ABE,425,29,11,2,0,0,0,"Grift, Tony E"
ABE,469,20,12,1,0,0,0,"Kalita, Prasanta K"
ABE,498,19,2,0,0,0,0,"Wang, Xinlei"
ACCY,200,96,76,31,6,1,3,"Silhan, Peter A"
ACCY,200,27,2,0,0,0,0,"Zhang, Li"
ACCY,201,11,13,2,1,4,1,"Sweetwood, Jason A"
ACCY,201,11,18,3,1,1,0,"Fisher, Mitchell B"
ACCY,201,14,11,8,0,0,0,"Fisher, Mitchell B"
ACCY,201,14,8,8,2,0,0,"Fisher, Mitchell B"
ACCY,201,9,14,5,0,2,0,"Fisher, Mitchell B"
ACCY,201,11,7,7,3,0,0,"Fisher, Mitchell B"
ACCY,201,21,7,1,2,1,0,"Fisher, Mitchell B"
ACCY,201,15,7,5,2,1,0,"Fisher, Mitchell B"
ACCY,201,12,12,3,1,2,1,"Fisher, Mitchell B"
ACCY,201,6,14,6,4,0,0,"Fisher, Mitchell B"
ACCY,201,12,13,6,2,0,0,"Fisher, Mitchell B"
ACCY,202,16,13,3,0,0,0,"Shapland, Julia P"
ACCY,202,9,15,6,1,0,0,"Shapland, Julia P"
ACCY,202,18,14,4,1,0,0,"Shapland, Julia P"
ACCY,202,12,16,4,2,0,0,"Shapland, Julia P"
ACCY,202,14,18,4,1,0,0,"Shapland, Julia P"
ACCY,202,19,16,2,0,0,0,"Shapland, Julia P"
ACCY,202,12,20,2,0,0,0,"Shapland, Julia P"
ACCY,202,20,11,6,0,0,0,"Shapland, Julia P"
ACCY,202,14,12,8,0,0,0,"Shapland, Julia P"
ACCY,202,11,14,6,0,1,0,"Shapland, Julia P"
ACCY,202,10,19,4,1,0,0,"Shapland, Julia P"
ACCY,202,13,16,3,1,0,0,"Shapland, Julia P"
ACCY,202,11,16,5,1,0,0,"Shapland, Julia P"
ACCY,202,10,16,5,2,0,0,"Shapland, Julia P"
ACCY,301,9,9,4,3,0,0,"Davis, Gregory L"
ACCY,301,19,6,0,0,0,0,"Davis, Gregory L"
ACCY,301,10,13,2,0,1,0,"Davis, Gregory L"
ACCY,301,12,14,0,0,0,0,"Mendoza, Kimberly"
ACCY,301,13,10,1,2,0,0,"Li, Wei"
ACCY,301,9,12,2,2,1,0,"Mendoza, Kimberly"
ACCY,302,15,7,2,1,0,0,"Fanning, Kirsten B"
ACCY,302,10,12,1,1,0,0,"Fanning, Kirsten B"
ACCY,302,12,11,2,0,0,0,"Finnegan, Thomas"
ACCY,302,14,9,1,0,0,0,"Finnegan, Thomas"
