CRS SUBJ CD,CRS NBR,A,B,C,D,F,W,Primary Instructor
ACCY,200,37,20,6,1,2,0,"Silhan, Peter A"
ACCY,301,12,3,3,3,0,0,"Keblusek, Matthew D"
ACCY,302,10,11,0,0,0,0,"Kim, Minjeong"
ACCY,410,10,16,0,0,0,0,"Penn, Michael W"
ACCY,501,29,6,1,0,0,0,"Augusto Sampaio, Gerlando"
ACCY,501,25,18,0,0,0,0,"Augusto Sampaio, Gerlando"
ACCY,501,12,14,1,0,0,0,"Ibrahim, Adel Nematallah"
ACCY,593,30,4,0,0,0,0,"Kustanovich, Michael"
ACE,161,20,2,0,0,0,0,"Parthum, Bryan M"
ACE,240,29,23,5,3,1,1,"Stoddard, Paul B"
ADV,312,1,12,5,2,2,0,"Chambers, Jason P"
AFST,222,26,2,1,2,0,0,"Barro, Maimouna A"
AGED,260,14,4,5,2,0,0,"Emmert, Jason L"
ANTH,103,43,10,4,1,5,0,"Krupp, Benjamin P"
ANTH,143,18,5,0,1,2,0,"Zachwieja, Alexandra J"
ANTH,246,34,7,3,0,0,0,"Lee, Amanda"
ART,100,22,7,1,0,3,0,"Burns, Jennifer"
ART,140,13,4,3,2,2,0,"Bergmark, Jennifer L"
ART,205,20,1,0,0,0,0,"Thomas, Nekita S"
ARTD,209,29,15,7,2,5,1,"Gunji-Ballsrud, Jennifer"
ASTR,100,17,11,2,1,1,1,"Dunne, Bryan C"
ASTR,330,44,0,0,0,1,0,"Chue, Chun Yin Ricky"
ATMS,120,124,64,17,1,11,0,"Snodgrass, Eric R"
BADM,300,15,15,9,0,2,2,"Marrs, Gregory A"
BADM,300,76,26,7,2,1,0,"Fricke, Michael R"
BADM,310,75,84,13,2,0,0,"Gill, Shahbaz"
BADM,320,41,90,16,4,2,1,"Gill, Shahbaz"
BADM,350,20,11,2,0,0,1,"Sachdev, Vishal"
BADM,375,9,14,4,3,1,0,"Scott, Nehemiah"
BADM,380,23,4,0,0,0,0,"Bucheli, Marcelo"
BADM,403,36,1,1,0,0,0,"Fricke, Michael R"
